1000 without_current 1
0.964966 0.262375 -5	0.933951 0.3574 -4.99
0.933951 0.3574 -4.99	0.893605 0.448854 -4.98
0.893605 0.448854 -4.98	0.84433 0.535823 -4.97
0.84433 0.535823 -4.97	0.786619 0.617439 -4.96
0.786619 0.617439 -4.96	0.721048 0.692885 -4.95
0.721048 0.692885 -4.95	0.648273 0.761408 -4.94
0.648273 0.761408 -4.94	0.56902 0.822324 -4.93
0.56902 0.822324 -4.93	0.484082 0.875023 -4.92
0.484082 0.875023 -4.92	0.394307 0.918979 -4.91
0.394307 0.918979 -4.91	0.300593 0.953753 -4.9
0.300593 0.953753 -4.9	0.203874 0.978997 -4.89
0.203874 0.978997 -4.89	0.105119 0.99446 -4.88
0.105119 0.99446 -4.88	0.00531384 0.999986 -4.87
0.00531384 0.999986 -4.87	-0.0945447 0.995521 -4.86
-0.0945447 0.995521 -4.86	-0.193459 0.981108 -4.85
-0.193459 0.981108 -4.85	-0.29044 0.956893 -4.84
-0.29044 0.956893 -4.84	-0.384518 0.923117 -4.83
-0.384518 0.923117 -4.83	-0.474755 0.880118 -4.82
-0.474755 0.880118 -4.82	-0.560249 0.828324 -4.81
-0.560249 0.828324 -4.81	-0.640144 0.768255 -4.8
-0.640144 0.768255 -4.8	-0.713644 0.700509 -4.79
-0.713644 0.700509 -4.79	-0.780013 0.625764 -4.78
-0.780013 0.625764 -4.78	-0.838588 0.544766 -4.77
-0.838588 0.544766 -4.77	-0.888784 0.458325 -4.76
-0.888784 0.458325 -4.76	-0.9301 0.367305 -4.75
-0.9301 0.367305 -4.75	-0.962123 0.272615 -4.74
-0.962123 0.272615 -4.74	-0.984533 0.175201 -4.73
-0.984533 0.175201 -4.73	-0.997105 0.0760367 -4.72
-0.997105 0.0760367 -4.72	-0.999715 -0.0238875 -4.71
-0.999715 -0.0238875 -4.71	-0.992335 -0.123573 -4.7
-0.992335 -0.123573 -4.7	-0.975041 -0.222024 -4.69
-0.975041 -0.222024 -4.69	-0.948005 -0.318257 -4.68
-0.948005 -0.318257 -4.68	-0.911496 -0.411309 -4.67
-0.911496 -0.411309 -4.67	-0.86588 -0.500252 -4.66
-0.86588 -0.500252 -4.66	-0.811612 -0.584197 -4.65
-0.811612 -0.584197 -4.65	-0.749235 -0.662304 -4.64
-0.749235 -0.662304 -4.64	-0.679372 -0.733794 -4.63
-0.679372 -0.733794 -4.63	-0.602721 -0.797952 -4.62
-0.602721 -0.797952 -4.62	-0.520047 -0.854137 -4.61
-0.520047 -0.854137 -4.61	-0.432178 -0.901788 -4.6
-0.432178 -0.901788 -4.6	-0.33999 -0.940429 -4.59
-0.33999 -0.940429 -4.59	-0.244405 -0.969673 -4.58
-0.244405 -0.969673 -4.58	-0.146379 -0.989229 -4.57
-0.146379 -0.989229 -4.57	-0.0468893 -0.9989 -4.56
-0.0468893 -0.9989 -4.56	0.0530685 -0.998591 -4.55
0.0530685 -0.998591 -4.55	0.152496 -0.988304 -4.54
0.152496 -0.988304 -4.54	0.2504 -0.968142 -4.53
0.2504 -0.968142 -4.53	0.345802 -0.938307 -4.52
0.345802 -0.938307 -4.52	0.437749 -0.899097 -4.51
0.437749 -0.899097 -4.51	0.525322 -0.850904 -4.5
