650 without_current 1
2.5 0 0	2.43867 0.239713 0.0243875
2.43867 0.239713 0.0243875	2.2697 0.420735 0.0454
2.2697 0.420735 0.0454	2.03445 0.498747 0.0610519
2.03445 0.498747 0.0610519	1.79049 0.454649 0.071658
1.79049 0.454649 0.071658	1.59743 0.299236 0.0799381
1.59743 0.299236 0.0799381	1.5023 0.07056 0.0902461
1.5023 0.07056 0.0902461	1.52802 -0.175392 0.107136
1.52802 -0.175392 0.107136	1.66783 -0.378401 0.133712
1.66783 -0.378401 0.133712	1.88693 -0.488765 0.170284
1.88693 -0.488765 0.170284	2.13113 -0.479462 0.213826
2.13113 -0.479462 0.213826	2.34011 -0.35277 0.258455
2.34011 -0.35277 0.258455	2.46225 -0.139708 0.296896
2.46225 -0.139708 0.296896	2.4673 0.10756 0.322568
2.4673 0.10756 0.322568	2.3537 0.328493 0.331687
2.3537 0.328493 0.331687	2.14891 0.469 0.324777
2.14891 0.469 0.324777	1.90263 0.494679 0.307046
1.90263 0.494679 0.307046	1.6745 0.399244 0.28744
1.6745 0.399244 0.28744	1.51948 0.206059 0.2765
1.51948 0.206059 0.2765	1.47439 -0.0375756 0.283555
1.47439 -0.0375756 0.283555	1.54896 -0.272011 0.31399
1.54896 -0.272011 0.31399	1.72352 -0.439848 0.367355
1.72352 -0.439848 0.367355	1.95395 -0.499995 0.436942
1.95395 -0.499995 0.436942	2.18262 -0.437726 0.511046
2.18262 -0.437726 0.511046	2.35251 -0.268286 0.575698
2.35251 -0.268286 0.575698	2.42121 -0.0331609 0.618238
2.42121 -0.0331609 0.618238	2.37125 0.210084 0.630805
2.37125 0.210084 0.630805	2.21423 0.401892 0.612805
2.21423 0.401892 0.612805	1.98782 0.495304 0.571605
1.98782 0.495304 0.571605	1.74644 0.467448 0.521159
1.74644 0.467448 0.521159	1.54779 0.325144 0.478789
1.54779 0.325144 0.478789	1.43876 0.103234 0.460874
1.43876 0.103234 0.460874	1.44395 -0.143952 0.478509
1.44395 -0.143952 0.478509	1.55984 -0.355893 0.534283
1.55984 -0.355893 0.534283	1.7558 -0.480699 0.621092
1.7558 -0.480699 0.621092	1.98181 -0.487813 0.723418
1.98181 -0.487813 0.723418	2.18079 -0.375494 0.820855
2.18079 -0.375494 0.820855	2.30263 -0.17124 0.893104
2.30263 -0.17124 0.893104	2.31642 0.0749386 0.925206
2.31642 0.0749386 0.925206	2.21785 0.30277 0.911657
2.21785 0.30277 0.911657	2.03006 0.456473 0.858294
2.03006 0.456473 0.858294	1.79776 0.498415 0.781361
1.79776 0.498415 0.781361	1.57612 0.418328 0.70385
1.57612 0.418328 0.70385	1.41717 0.23582 0.649945
1.41717 0.23582 0.649945	1.35715 -0.00442565 0.638918
1.35715 -0.00442565 0.638918	1.40771 -0.243587 0.680002
1.40771 -0.243587 0.680002	1.55338 -0.42311 0.769621
1.55338 -0.42311 0.769621	1.75554 -0.499041 0.891755
1.75554 -0.499041 0.891755	1.96211 -0.452789 1.0215
1.96211 -0.452789 1.0215	2.12043 -0.295679 1.13101
2.12043 -0.295679 1.13101	2.1901 -0.0661759 1.19646
2.1901 -0.0661759 1.19646	2.15276 0.179529 1.20417
2.15276 0.179529 1.20417	2.01634 0.381279 1.15448
2.01634 0.381279 1.15448	1.81282 0.489679 1.06216
1.81282 0.489679 1.06216	1.59013 0.478188 0.953172
